code,title,selected_from,selected_row_index,source_count,source_files,publish_date,location,business_line
PR000133,数据产品经理,pinduoduo_jobs_产品经理_all_20260609_162018.csv,13,1,pinduoduo_jobs_产品经理_all_20260609_162018.csv,2025-07-21,上海,产品类
PR012259,智能聊天机器人产品经理（基础架构方向）,pinduoduo_jobs_产品经理_all_20260609_162018.csv,15,1,pinduoduo_jobs_产品经理_all_20260609_162018.csv,2024-10-14,上海,产品类
PR013536,产品经理-企业信息化平台,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,3,1,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,2026-04-01,上海,产品类
PR016472,策略中台高级产品经理,pinduoduo_jobs_产品经理_all_20260609_162018.csv,8,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv,2026-05-27,上海,产品类
PR016668,电商售后资深产品经理/产品leader,pinduoduo_jobs_产品经理_all_20260609_162018.csv,9,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv,2026-05-27,上海,产品类
PR018599,视频会议产品经理,pinduoduo_jobs_产品经理_all_20260609_162018.csv,16,3,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv,2024-10-08,上海,产品类
PR018646,营销产品经理,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,10,1,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,2025-12-17,上海,产品类
PR018648,C端产品经理,pinduoduo_jobs_产品经理_part_23_33_all_20260609_164104.csv,2,1,pinduoduo_jobs_产品经理_part_23_33_all_20260609_164104.csv,2026-05-13,上海,产品类
PR020283,客服产品经理,pinduoduo_jobs_产品经理_all_20260609_162018.csv,5,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv,2026-06-03,上海,产品类
PR020751,搜索广告产品经理（用户增长方向）,pinduoduo_jobs_产品经理_part_12_23_all_20260609_164011.csv,10,1,pinduoduo_jobs_产品经理_part_12_23_all_20260609_164011.csv,2026-05-16,上海,产品类
PR020775,电商产品经理（会员营销方向）,pinduoduo_jobs_产品经理_all_20260609_162018.csv,2,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv,2026-06-08,上海,产品类
PR020780,达人营销产品经理,pinduoduo_jobs_产品经理_part_12_23_all_20260609_164011.csv,9,1,pinduoduo_jobs_产品经理_part_12_23_all_20260609_164011.csv,2026-05-16,上海,产品类
PR020870,合规产品经理,pinduoduo_jobs_产品经理_part_23_33_all_20260609_164104.csv,3,1,pinduoduo_jobs_产品经理_part_23_33_all_20260609_164104.csv,2026-05-11,上海,产品类
PR021337,商家端产品经理,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,4,1,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,2026-03-17,上海,产品类
