company,source_schema,code,title,business_line,department,project,category_name,batch_name,location,publish_date,raw_update_time,post_url,responsibility,requirement_text,bonus,experience_text,jd_text,list_job_name,list_job_category
"拼多多","pdd_tampermonkey","PR023910","用户体验产品经理","产品类","","","产品类","","上海","2026-04-19","2026-04-19","https://careers.pddglobalhr.com/jobs/detail?code=PR023910","1、负责深度挖掘、分析、解决拼多多平台的功能体验优化点，落地产品化的解决方案2、独立负责c端体验项目的迭代和发展方向，为最终结果负责3、密切关注消费者反馈，有钻研、创新精神，能切实解决消费者的体验问题","任职要求：1、1年以上互联网产品经验2、具备C端需求经验和消费者体验视角，能洞察消费者痛点并提出多维的解决方案3、具备优秀的跨部门沟通和数据分析能力","无","任职要求：1、1年以上互联网产品经验2、具备C端需求经验和消费者体验视角，能洞察消费者痛点并提出多维的解决方案3、具备优秀的跨部门沟通和数据分析能力","岗位职责：
1、负责深度挖掘、分析、解决拼多多平台的功能体验优化点，落地产品化的解决方案2、独立负责c端体验项目的迭代和发展方向，为最终结果负责3、密切关注消费者反馈，有钻研、创新精神，能切实解决消费者的体验问题

任职要求：
任职要求：1、1年以上互联网产品经验2、具备C端需求经验和消费者体验视角，能洞察消费者痛点并提出多维的解决方案3、具备优秀的跨部门沟通和数据分析能力

加分项：
无","用户体验产品经理","产品类"
"拼多多","pdd_tampermonkey","PR022426","搜索策略产品经理","产品类","","","产品类","","上海","2026-04-16","2026-04-16","https://careers.pddglobalhr.com/jobs/detail?code=PR022426","1.负责搜索场景的出品和排序策略相关内容，提升场景的流量转化效率；2.能够深入了解各搜索场景，挖掘用户需求，分析存在问题，以产品化形式，提升搜索产品的体验；3.能够协调其他团队进行产品创新和落地；合作过程中能够承担主导作用，协调资源，解决问题；","1.一年及以上推荐/搜索/广告策略产品经验；2.学习能力强；有一定的数据分析、产品策划能力；3.有强烈的自驱力和责任感；可跨多团队合作，推动复杂问题快速解决；","无","1.一年及以上推荐/搜索/广告策略产品经验；2.学习能力强；有一定的数据分析、产品策划能力；3.有强烈的自驱力和责任感；可跨多团队合作，推动复杂问题快速解决；","岗位职责：
1.负责搜索场景的出品和排序策略相关内容，提升场景的流量转化效率；2.能够深入了解各搜索场景，挖掘用户需求，分析存在问题，以产品化形式，提升搜索产品的体验；3.能够协调其他团队进行产品创新和落地；合作过程中能够承担主导作用，协调资源，解决问题；

任职要求：
1.一年及以上推荐/搜索/广告策略产品经验；2.学习能力强；有一定的数据分析、产品策划能力；3.有强烈的自驱力和责任感；可跨多团队合作，推动复杂问题快速解决；

加分项：
无","搜索策略产品经理","产品类"
"拼多多","pdd_tampermonkey","PR013536","产品经理-企业信息化平台","产品类","","","产品类","","上海","2026-04-01","2026-04-01","https://careers.pddglobalhr.com/jobs/detail?code=PR013536","1、负责公司企业信息化产品的需求分析，业务流程梳理，产品方案规划设计，交互和原型设计，最终产出详细的PRD文档；2、负责与业务、设计等各环节沟通协调，向开发人员讲解业务需求，确保产品功能被正确、及时的交付，并控制项目进度；3、依据需求分析文档，对技术开发结果进行需求验证，跟进产品发布；4、产品效果的持续跟踪和监控、产品持续迭代优化等；5、承担面向内部的正式场合培训用户工作。","1、本科以上学历，3年以上产品经理工作经验，主导过互联网产品全生命周期的管理。有企业信息化产品（如OA, E-HR, ERP等）的产品和项目管理经验优先；2、思维敏捷，性格开朗，责任感强，工作积极主动，具备学习意识，有良好的团队协作意识；3、具备沟通协调, 项目推进,文档书写等产品岗位能力；能够熟练应用制图工具完成产品原型、流程图、PRD文档编辑，能够熟练使用Jira, Wiki管理项目进度和项目文档。","无","1、本科以上学历，3年以上产品经理工作经验，主导过互联网产品全生命周期的管理。有企业信息化产品（如OA, E-HR, ERP等）的产品和项目管理经验优先；2、思维敏捷，性格开朗，责任感强，工作积极主动，具备学习意识，有良好的团队协作意识；3、具备沟通协调, 项目推进,文档书写等产品岗位能力；能够熟练应用制图工具完成产品原型、流程图、PRD文档编辑，能够熟练使用Jira, Wiki管理项目进度和项目文档。","岗位职责：
1、负责公司企业信息化产品的需求分析，业务流程梳理，产品方案规划设计，交互和原型设计，最终产出详细的PRD文档；2、负责与业务、设计等各环节沟通协调，向开发人员讲解业务需求，确保产品功能被正确、及时的交付，并控制项目进度；3、依据需求分析文档，对技术开发结果进行需求验证，跟进产品发布；4、产品效果的持续跟踪和监控、产品持续迭代优化等；5、承担面向内部的正式场合培训用户工作。

任职要求：
1、本科以上学历，3年以上产品经理工作经验，主导过互联网产品全生命周期的管理。有企业信息化产品（如OA, E-HR, ERP等）的产品和项目管理经验优先；2、思维敏捷，性格开朗，责任感强，工作积极主动，具备学习意识，有良好的团队协作意识；3、具备沟通协调, 项目推进,文档书写等产品岗位能力；能够熟练应用制图工具完成产品原型、流程图、PRD文档编辑，能够熟练使用Jira, Wiki管理项目进度和项目文档。

加分项：
无","产品经理-企业信息化平台","产品类"
"拼多多","pdd_tampermonkey","PR021337","商家端产品经理","产品类","","","产品类","","上海","2026-03-17","2026-03-17","https://careers.pddglobalhr.com/jobs/detail?code=PR021337","1、熟悉并了解商家端系统行业痛点问题，能够有针对性的制定产品方案并落地；2、协调各方资源，带领团队一起推动相关产品的设计、开发及上线，并对产品质量进行把控； 3、负责产品从需求调研到上线落地的完整流程，具备独立B端产品设计经验。","1、本科及以上学历，2年及以上互联网产品工作经验，有大型平台B端产品工作经验者优先，有知名互联网公司工作经验优先；2、有较强的自驱力，快速学习，融入新领域，确保项目落地；3、对业务数据敏感，有较好的数据分析能力和优秀的逻辑思维，可以从业务数据波动中发现问题，提炼需求；4、具有优秀的沟通能力、执行力和产品判断力，情商高，有极强的工作热情。","无","1、本科及以上学历，2年及以上互联网产品工作经验，有大型平台B端产品工作经验者优先，有知名互联网公司工作经验优先；2、有较强的自驱力，快速学习，融入新领域，确保项目落地；3、对业务数据敏感，有较好的数据分析能力和优秀的逻辑思维，可以从业务数据波动中发现问题，提炼需求；4、具有优秀的沟通能力、执行力和产品判断力，情商高，有极强的工作热情。","岗位职责：
1、熟悉并了解商家端系统行业痛点问题，能够有针对性的制定产品方案并落地；2、协调各方资源，带领团队一起推动相关产品的设计、开发及上线，并对产品质量进行把控； 3、负责产品从需求调研到上线落地的完整流程，具备独立B端产品设计经验。

任职要求：
1、本科及以上学历，2年及以上互联网产品工作经验，有大型平台B端产品工作经验者优先，有知名互联网公司工作经验优先；2、有较强的自驱力，快速学习，融入新领域，确保项目落地；3、对业务数据敏感，有较好的数据分析能力和优秀的逻辑思维，可以从业务数据波动中发现问题，提炼需求；4、具有优秀的沟通能力、执行力和产品判断力，情商高，有极强的工作热情。

加分项：
无","商家端产品经理","产品类"
"拼多多","pdd_tampermonkey","PR023668","产品经理（B端C端结合）","产品类","","","产品类","","上海","2026-03-14","2026-03-14","https://careers.pddglobalhr.com/jobs/detail?code=PR023668","1、负责对应站点的用户侧、商家侧产品的需求分析和产品规划；2、拆分用户生命周期和消费场景，优化用户端到端购物体验，提升平台转化效率；3、探索并负责电商全链路的功能创新迭代，提升平台用户规模和经营收入；4、设计包括但不限于物流策略/售后策略/商品策略等，保障平台稳健可持续发展；5、对商家经营流程深入挖掘，使得商家端系统更适配站点情况。","1、本科及以上学历，1年以上用户增长、基础功能、经营策略等C端、B端方向的产品经验；2、目标明确，拥有强烈的责任心和合作精神，能持续推动项目落地；3、对用户体验有感知，同理心强；能深入参与调研平台经营模式和商家痛点；4、有较强的逻辑梳理及调研能力，有较强的数据分析能力，从数据中挖掘优化点；5、英语表达能力较好，可满足基础工作需要。","葡语为加分项","1、本科及以上学历，1年以上用户增长、基础功能、经营策略等C端、B端方向的产品经验；2、目标明确，拥有强烈的责任心和合作精神，能持续推动项目落地；3、对用户体验有感知，同理心强；能深入参与调研平台经营模式和商家痛点；4、有较强的逻辑梳理及调研能力，有较强的数据分析能力，从数据中挖掘优化点；5、英语表达能力较好，可满足基础工作需要。","岗位职责：
1、负责对应站点的用户侧、商家侧产品的需求分析和产品规划；2、拆分用户生命周期和消费场景，优化用户端到端购物体验，提升平台转化效率；3、探索并负责电商全链路的功能创新迭代，提升平台用户规模和经营收入；4、设计包括但不限于物流策略/售后策略/商品策略等，保障平台稳健可持续发展；5、对商家经营流程深入挖掘，使得商家端系统更适配站点情况。

任职要求：
1、本科及以上学历，1年以上用户增长、基础功能、经营策略等C端、B端方向的产品经验；2、目标明确，拥有强烈的责任心和合作精神，能持续推动项目落地；3、对用户体验有感知，同理心强；能深入参与调研平台经营模式和商家痛点；4、有较强的逻辑梳理及调研能力，有较强的数据分析能力，从数据中挖掘优化点；5、英语表达能力较好，可满足基础工作需要。

加分项：
葡语为加分项","产品经理（B端C端结合）","产品类"
"拼多多","pdd_tampermonkey","PR023702","商品内容产品经理","产品类","","","产品类","","上海","2026-03-14","2026-03-14","https://careers.pddglobalhr.com/jobs/detail?code=PR023702","1、规划和迭代平台商品模型、类目和属性规则，提升商品信息规范和管理效率；2、设计和优化商家商品发布及运营相关的产品能力，提升商家使用体验和发品效率；3、推动商品数据治理与多业务场景应用，确保商品信息质量，为商家GMV增长提供支持；4、协同技术、运营、算法等团队推进产品落地，通过数据分析与用户反馈持续迭代产品能力。","1、具有1年以上互联网中后台产品经验，有商品中台或相关产品经验优先；2、深入理解电商平台商品体系，熟悉商品模型、类目与属性体系、商品数据结构及发布链路；3、具备较强的产品规划与项目推进能力，能够将复杂业务需求抽象为可落地的产品方案，并跨部门推动项目高效落地；4、具备数据分析能力和跨团队协作能力，能够基于数据发现问题并持续优化产品体验；5、有电商平台经验者优先。","/","1、具有1年以上互联网中后台产品经验，有商品中台或相关产品经验优先；2、深入理解电商平台商品体系，熟悉商品模型、类目与属性体系、商品数据结构及发布链路；3、具备较强的产品规划与项目推进能力，能够将复杂业务需求抽象为可落地的产品方案，并跨部门推动项目高效落地；4、具备数据分析能力和跨团队协作能力，能够基于数据发现问题并持续优化产品体验；5、有电商平台经验者优先。","岗位职责：
1、规划和迭代平台商品模型、类目和属性规则，提升商品信息规范和管理效率；2、设计和优化商家商品发布及运营相关的产品能力，提升商家使用体验和发品效率；3、推动商品数据治理与多业务场景应用，确保商品信息质量，为商家GMV增长提供支持；4、协同技术、运营、算法等团队推进产品落地，通过数据分析与用户反馈持续迭代产品能力。

任职要求：
1、具有1年以上互联网中后台产品经验，有商品中台或相关产品经验优先；2、深入理解电商平台商品体系，熟悉商品模型、类目与属性体系、商品数据结构及发布链路；3、具备较强的产品规划与项目推进能力，能够将复杂业务需求抽象为可落地的产品方案，并跨部门推动项目高效落地；4、具备数据分析能力和跨团队协作能力，能够基于数据发现问题并持续优化产品体验；5、有电商平台经验者优先。

加分项：
/","商品内容产品经理","产品类"
"拼多多","pdd_tampermonkey","PR023703","商家入驻产品经理","产品类","","","产品类","","上海","2026-03-14","2026-03-14","https://careers.pddglobalhr.com/jobs/detail?code=PR023703","1、负责从商家注册入驻到店铺正常经营的全链路产品规划与迭代；2、推动治理审核及平台合规风控，将复杂的治理审核及合规要求抽象并产品化；3、搭建入驻环节的数据监控，同时与招商运营团队紧密配合，打通入驻与后续链路的联动。","1、具有1年以上互联网中后台产品经验，有B端商家入驻、平台规则类优先；2、逻辑思维强，能够梳理复杂的业务流程，抽象出标准化的产品化解决思路；3、以用户为中心，具备同理心，能从繁琐的入驻规则中寻找用户体验的平衡点；4、数据敏感，善于通过数据发现流程中的卡点，并能通过AB测试验证产品效果。","/","1、具有1年以上互联网中后台产品经验，有B端商家入驻、平台规则类优先；2、逻辑思维强，能够梳理复杂的业务流程，抽象出标准化的产品化解决思路；3、以用户为中心，具备同理心，能从繁琐的入驻规则中寻找用户体验的平衡点；4、数据敏感，善于通过数据发现流程中的卡点，并能通过AB测试验证产品效果。","岗位职责：
1、负责从商家注册入驻到店铺正常经营的全链路产品规划与迭代；2、推动治理审核及平台合规风控，将复杂的治理审核及合规要求抽象并产品化；3、搭建入驻环节的数据监控，同时与招商运营团队紧密配合，打通入驻与后续链路的联动。

任职要求：
1、具有1年以上互联网中后台产品经验，有B端商家入驻、平台规则类优先；2、逻辑思维强，能够梳理复杂的业务流程，抽象出标准化的产品化解决思路；3、以用户为中心，具备同理心，能从繁琐的入驻规则中寻找用户体验的平衡点；4、数据敏感，善于通过数据发现流程中的卡点，并能通过AB测试验证产品效果。

加分项：
/","商家入驻产品经理","产品类"
"拼多多","pdd_tampermonkey","PR023690","开放平台产品经理","产品类","","","产品类","","上海","2026-03-11","2026-03-11","https://careers.pddglobalhr.com/jobs/detail?code=PR023690","1、负责开放平台API产品设计（包括但不限于商品、订单、库存、物流等模块）；2、制定ERP对接标准与管理规则，搭建和完善开平门户；3、管理并负责重点ERP合作伙伴，结合模块业务目标能独立产出对接方案。","1、2年以上电商开放平台/中后台产品经验，熟悉ERP对接流程；2、熟悉接口设计规范，能将复杂的业务规则抽象化，目标导向，有较强抗压能力；3、学习和沟通推动能力强，英语能满足日常对话要求；4、有良好的数据分析能力，能通过数据分析发现业务问题并推进迭代。","有开放平台0-1经验 / ERP厂商背景 / 熟悉电商","1、2年以上电商开放平台/中后台产品经验，熟悉ERP对接流程；2、熟悉接口设计规范，能将复杂的业务规则抽象化，目标导向，有较强抗压能力；3、学习和沟通推动能力强，英语能满足日常对话要求；4、有良好的数据分析能力，能通过数据分析发现业务问题并推进迭代。","岗位职责：
1、负责开放平台API产品设计（包括但不限于商品、订单、库存、物流等模块）；2、制定ERP对接标准与管理规则，搭建和完善开平门户；3、管理并负责重点ERP合作伙伴，结合模块业务目标能独立产出对接方案。

任职要求：
1、2年以上电商开放平台/中后台产品经验，熟悉ERP对接流程；2、熟悉接口设计规范，能将复杂的业务规则抽象化，目标导向，有较强抗压能力；3、学习和沟通推动能力强，英语能满足日常对话要求；4、有良好的数据分析能力，能通过数据分析发现业务问题并推进迭代。

加分项：
有开放平台0-1经验 / ERP厂商背景 / 熟悉电商","开放平台产品经理","产品类"
"拼多多","pdd_tampermonkey","PR023660","商家结算产品经理","产品类","","","产品类","","上海","2026-03-09","2026-03-09","https://careers.pddglobalhr.com/jobs/detail?code=PR023660","1、负责电商平台商家结算产品的规划、设计、实现，以及店铺绩效与权益等规则策略的制定和迭代；2、协同上下游及各相关模块，推动项目设计、开发和上线，保障产品质量；3、调研及收集商家需求，通过数据分析等方式持续优化产品体验。","1、本科及以上学历，2年以上互联网产品经验，有大型平台B端产品或知名互联网公司经验者优先；2、熟悉电商结算、物流、售后等模块，具备相应产品参与或负责经历；3、具备良好的业务敏感度和整体把控能力，能洞察业务现状和未来趋势；4、学习能力和逻辑思维强，能快速理解复杂业务及相关财税法规，设计并落地系统方案，思考全面严谨；5、数据分析能力强，能从业务数据中发现问题并提炼需求；6、具备优秀的沟通能力、执行力和产品判断力，情商高，工作热情强，强结果导向。","/","1、本科及以上学历，2年以上互联网产品经验，有大型平台B端产品或知名互联网公司经验者优先；2、熟悉电商结算、物流、售后等模块，具备相应产品参与或负责经历；3、具备良好的业务敏感度和整体把控能力，能洞察业务现状和未来趋势；4、学习能力和逻辑思维强，能快速理解复杂业务及相关财税法规，设计并落地系统方案，思考全面严谨；5、数据分析能力强，能从业务数据中发现问题并提炼需求；6、具备优秀的沟通能力、执行力和产品判断力，情商高，工作热情强，强结果导向。","岗位职责：
1、负责电商平台商家结算产品的规划、设计、实现，以及店铺绩效与权益等规则策略的制定和迭代；2、协同上下游及各相关模块，推动项目设计、开发和上线，保障产品质量；3、调研及收集商家需求，通过数据分析等方式持续优化产品体验。

任职要求：
1、本科及以上学历，2年以上互联网产品经验，有大型平台B端产品或知名互联网公司经验者优先；2、熟悉电商结算、物流、售后等模块，具备相应产品参与或负责经历；3、具备良好的业务敏感度和整体把控能力，能洞察业务现状和未来趋势；4、学习能力和逻辑思维强，能快速理解复杂业务及相关财税法规，设计并落地系统方案，思考全面严谨；5、数据分析能力强，能从业务数据中发现问题并提炼需求；6、具备优秀的沟通能力、执行力和产品判断力，情商高，工作热情强，强结果导向。

加分项：
/","商家结算产品经理","产品类"
"拼多多","pdd_tampermonkey","PR022427","推荐策略产品经理","产品类","","","产品类","","上海","2026-03-02","2026-03-02","https://careers.pddglobalhr.com/jobs/detail?code=PR022427","1、策略方向产品；负责app内推荐，包括首页、频道页等位置；需优化商品推荐结果、体验；2、提升推荐效率：与合作部门一起迭代策略，提升有效转化效率及规模，交付订单、GMV等各类指标；3、优化用户体验：优化出品、选图结果，促进相关基础能力建设升级、应用策略迭代；4、平衡商家生态：结合行业及商家诉求，设计相关策略，优化商家站内获量生态。","1、一年及以上推荐/搜索/广告策略产品经验；2、具备较强逻辑思维能力、对数据敏感、责任心强、执行力强；3、有好奇心和自驱力。","无","1、一年及以上推荐/搜索/广告策略产品经验；2、具备较强逻辑思维能力、对数据敏感、责任心强、执行力强；3、有好奇心和自驱力。","岗位职责：
1、策略方向产品；负责app内推荐，包括首页、频道页等位置；需优化商品推荐结果、体验；2、提升推荐效率：与合作部门一起迭代策略，提升有效转化效率及规模，交付订单、GMV等各类指标；3、优化用户体验：优化出品、选图结果，促进相关基础能力建设升级、应用策略迭代；4、平衡商家生态：结合行业及商家诉求，设计相关策略，优化商家站内获量生态。

任职要求：
1、一年及以上推荐/搜索/广告策略产品经验；2、具备较强逻辑思维能力、对数据敏感、责任心强、执行力强；3、有好奇心和自驱力。

加分项：
无","推荐策略产品经理","产品类"
