company,source_row_index,title,location,publish_date,post_url,business_line,filter_keep,filter_reasons,source_schema
美团,1,LongCat大模型 - Agent 评测产品经理（欢迎算法/工程转型）,北京市、上海市,2026-05-29,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4301295312&highlightType=social,核心本地商业-基础研发平台,True,,meituan_manual_20260609
美团,2,LongCat大模型 - 大模型评测平台产品经理,北京市、上海市,2026-05-29,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3506281745&highlightType=social,核心本地商业-基础研发平台,True,,meituan_manual_20260609
美团,3,产品经理,北京市,2026-04-28,https://zhaopin.meituan.com/web/position/detail?jobUnionId=4131315764&highlightType=social,核心本地商业-美团平台,True,,meituan_manual_20260609
美团,4,AI产品经理（NoCode&CatPaw系列产品）,北京市,2026-06-09,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,核心本地商业-基础研发平台,True,,meituan_manual_20260609
美团,5,Agent产品经理,北京市,2026-04-20,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,核心本地商业-基础研发平台,True,,meituan_manual_20260609
美团,6,AI高阶产品经理,北京市、上海市,2026-04-22,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,软硬件服务-餐饮SaaS事业部,True,,meituan_manual_20260609
美团,7,AI产品经理（AI Builder方向）,北京市,2026-05-19,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,核心本地商业-美团平台,True,,meituan_manual_20260609
美团,8,线下场景产品经理,北京市,2026-03-23,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,核心本地商业-美团平台,True,,meituan_manual_20260609
美团,9,商家生态产品经理,北京市、上海市,2026-03-19,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,核心本地商业-美团平台,True,,meituan_manual_20260609
美团,10,中台产品经理,北京市,2026-03-23,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,核心本地商业-美团平台,True,,meituan_manual_20260609
美团,11,数据产品经理,北京市,2026-06-09,https://zhaopin.meituan.com/web/social?token=c6ab1e83799a47d8b74143c2e0713657&keyword=%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86,软硬件服务-充电宝业务部,True,,meituan_manual_20260609
美团,12,AI应用产品经理（B端）,北京市,2026-05-19,https://zhaopin.meituan.com/web/position/detail?jobUnionId=3343483756&highlightType=social,核心本地商业-美团平台,True,,meituan_manual_20260609
