company,source_row_index,title,location,publish_date,post_url,business_line,filter_keep,filter_reasons,source_schema
腾讯,1,AI产品经理,深圳,2026-06-01,http://careers.tencent.com/jobdesc.html?postId=2027280257962377216,PCG / 应用宝,True,,tencent
腾讯,2,QQ-Agent产品经理,深圳,2026-06-08,http://careers.tencent.com/jobdesc.html?postId=2029837577405759488,PCG / QQ,True,,tencent
腾讯,3,增长产品经理,深圳,2026-05-27,http://careers.tencent.com/jobdesc.html?postId=2003663358812905472,PCG / 应用宝,True,,tencent
腾讯,4,平台产品经理,北京,2026-05-21,http://careers.tencent.com/jobdesc.html?postId=2036276141639233536,PCG / 内容引入服务,True,,tencent
腾讯,5,QQ会员-产品经理,深圳,2026-06-02,http://careers.tencent.com/jobdesc.html?postId=2047584815200497664,PCG / QQ会员,True,,tencent
腾讯,6,金融AI产品经理,深圳,2026-04-08,http://careers.tencent.com/jobdesc.html?postId=2034259565708734464,CDG / 公共,True,,tencent
腾讯,7,元宝-AIGC产品经理,北京,2026-03-31,http://careers.tencent.com/jobdesc.html?postId=2030596831590903808,CSIG / 元宝,True,,tencent
腾讯,8,AI原生产品经理,深圳,2026-03-18,http://careers.tencent.com/jobdesc.html?postId=2034117546277498880,CSIG / 腾讯云,True,,tencent
腾讯,9,投放策略产品经理,深圳,2026-06-01,http://careers.tencent.com/jobdesc.html?postId=2060180630217605120,PCG / ACE中台,True,,tencent
腾讯,10,微信秒剪-产品经理,广州,2026-05-11,http://careers.tencent.com/jobdesc.html?postId=1951113659853963264,WXG / 微信读书,True,,tencent
腾讯,11,信用卡平台-产品经理,深圳,2026-05-25,http://careers.tencent.com/jobdesc.html?postId=2013542314953297920,CDG / 信用卡业务,True,,tencent
腾讯,12,元宝- AI策略产品经理,北京,2026-05-14,http://careers.tencent.com/jobdesc.html?postId=1986268577531060224,CSIG / 元宝,True,,tencent
腾讯,13,游戏AI-高级产品经理,深圳,2026-05-13,http://careers.tencent.com/jobdesc.html?postId=1897945233740599296,TEG,True,,tencent
腾讯,14,微信输入法-产品经理,广州,2026-05-09,http://careers.tencent.com/jobdesc.html?postId=1978467587062910976,WXG / 微信输入法,True,,tencent
腾讯,15,元宝- AI策略产品经理,深圳,2026-05-07,http://careers.tencent.com/jobdesc.html?postId=1925398818564710400,CSIG / 元宝,True,,tencent
腾讯,16,腾讯视频-AI 产品经理,北京,2026-04-29,http://careers.tencent.com/jobdesc.html?postId=2046845261342470144,PCG / 腾讯视频,True,,tencent
腾讯,17,微信-产品经理-多平台,广州,2026-04-20,http://careers.tencent.com/jobdesc.html?postId=2043522207853998080,WXG / 微信APP基础体验,True,,tencent
腾讯,18,游戏美术 AIGC 产品经理,深圳,2026-04-09,http://careers.tencent.com/jobdesc.html?postId=2036274661179944960,IEG / BG公共（IEG）,True,,tencent
