company,source_row_index,title,location,publish_date,post_url,business_line,filter_keep,filter_reasons,source_schema
阿里巴巴,1,数据研发工程师,杭州,2026-05-29,https://talent-holding.alibaba.com/campus/position/199900160004,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,True,,alibaba_family
阿里巴巴,2,算法工程师-多模态算法（音乐方向）,北京,2026-04-24,https://talent-holding.alibaba.com/campus/position/199904720001,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,True,,alibaba_family
阿里巴巴,3,大规模分布式训练推理加速及核心基础设施软硬协同优化-阿里星,北京 / 杭州,2026-04-14,https://talent-holding.alibaba.com/campus/position/199904280009,阿里巴巴控股集团 / AI Infra / 阿里控股2026届秋季应届生招聘,True,,alibaba_family
阿里巴巴,4,未来生活大语言和多模态大模型研究与应用-阿里星,北京 / 杭州,2026-04-14,https://talent-holding.alibaba.com/campus/position/199904420002,阿里巴巴控股集团 / 基础模型 / 阿里控股2026届秋季应届生招聘,True,,alibaba_family
阿里巴巴,5,算法工程师-大语言模型,北京 / 杭州,2026-04-14,https://talent-holding.alibaba.com/campus/position/199900160006,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,True,,alibaba_family
阿里巴巴,6,算法工程师-自然语言处理,北京 / 杭州,2026-03-20,https://talent-holding.alibaba.com/campus/position/199901880002,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,True,,alibaba_family
阿里巴巴,7,账务核算专员-橙翼,杭州,2026-03-17,https://talent-holding.alibaba.com/campus/position/199903280020,阿里巴巴控股集团 / 职能类 / 阿里控股2026届秋季应届生招聘,True,,alibaba_family
阿里巴巴,8,财务专员-橙翼,杭州 / 西安,2026-02-13,https://talent-holding.alibaba.com/campus/position/199903200042,阿里巴巴控股集团 / 职能类 / 阿里控股2026届秋季应届生招聘,False,发布日期早于2026-03-09,alibaba_family
阿里巴巴,9,算法工程师-多模态,北京 / 杭州,2026-01-21,https://talent-holding.alibaba.com/campus/position/199900160005,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,False,发布日期早于2026-03-09,alibaba_family
阿里巴巴,10,前端开发工程师,杭州,2025-11-28,https://talent-holding.alibaba.com/campus/position/199900160003,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,False,发布日期早于2026-03-09,alibaba_family
阿里巴巴,11,算法工程师-算法工程,北京,2025-11-28,https://talent-holding.alibaba.com/campus/position/199901920001,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,False,发布日期早于2026-03-09,alibaba_family
阿里巴巴,12,IT服务工程师-杭州/广州,广州 / 杭州,2025-11-06,https://talent-holding.alibaba.com/campus/position/199900180001,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,False,发布日期早于2026-03-09,alibaba_family
阿里巴巴,13,基础平台研发工程师（C/C++/Java/Golang/Python）,杭州,2025-10-20,https://talent-holding.alibaba.com/campus/position/199900120006,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,False,发布日期早于2026-03-09,alibaba_family
阿里巴巴,14,研发工程师C/C++,北京 / 杭州,2025-10-09,https://talent-holding.alibaba.com/campus/position/199900120005,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,False,发布日期早于2026-03-09,alibaba_family
阿里巴巴,15,算法工程师-大数据处理,杭州,2025-09-09,https://talent-holding.alibaba.com/campus/position/199900640007,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,False,发布日期早于2026-03-09,alibaba_family
阿里巴巴,16,算法工程师-机器学习,北京 / 杭州,2025-08-19,https://talent-holding.alibaba.com/campus/position/199900160007,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,False,发布日期早于2026-03-09,alibaba_family
阿里巴巴,17,客户端开发工程师,杭州,2025-08-18,https://talent-holding.alibaba.com/campus/position/199900080008,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,False,发布日期早于2026-03-09,alibaba_family
阿里巴巴,18,基础平台研发工程师-数据湖引擎,杭州,2025-08-14,https://talent-holding.alibaba.com/campus/position/199900320051,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,False,发布日期早于2026-03-09,alibaba_family
阿里巴巴,19,算法工程师-多组学,杭州,2025-08-04,https://talent-holding.alibaba.com/campus/position/199900180006,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,False,发布日期早于2026-03-09,alibaba_family
阿里巴巴,20,算法工程师-基因组,杭州,2025-08-04,https://talent-holding.alibaba.com/campus/position/199900120009,阿里巴巴控股集团 / 技术类 / 阿里控股2026届秋季应届生招聘,False,发布日期早于2026-03-09,alibaba_family
钉钉,21,安全工程师,杭州,2026-04-21,https://talent.dingtalk.com/campus/position/59900006705,钉钉 / 技术类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,22,研发工程师C/C++,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006604,钉钉 / 技术类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,23,研发工程师Golang/Python,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006405,钉钉 / 技术类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,24,桌面端开发工程师 （Windows/Mac/Linux）,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006710,钉钉 / 技术类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,25,客户端开发工程师-Android,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006708,钉钉 / 技术类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,26,客户端开发工程师-iOS,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006707,钉钉 / 技术类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,27,运维研发工程师,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006706,钉钉 / 技术类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,28,数据研发工程师,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006605,钉钉 / 技术类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,29,研发工程师JAVA,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006902,钉钉 / 技术类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,30,用户运营,北京 / 杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006712,钉钉 / 运营类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,31,体验设计师,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006410,钉钉 / 设计类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,32,商业伙伴运营,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006805,钉钉 / 运营类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,33,行业运营,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006409,钉钉 / 运营类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,34,服务运营,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006804,钉钉 / 运营类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,35,策略运营,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006408,钉钉 / 运营类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
钉钉,36,产品经理,杭州,2026-03-25,https://talent.dingtalk.com/campus/position/59900006407,钉钉 / 产品类 / 钉钉2026届秋季应届生招聘,True,,alibaba_family
